"author","title category","title","date","page"
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",10
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",10
" u'David Tormsen',"," u'Space',"," u'10 Hypothetical Forms Of Life',"," u'July 17, 2015',",10
" u'Leonius',"," u'Creepy',"," u'10 Creepypasta That Will Scare You Silly',"," u'April 3, 2014',",10
" u'GCchange',"," u'Crime',"," u'10 Poisons Used To Kill People',"," u'December 2, 2012',",10
" u'Jamie Frater'"," u'Weird Stuff'"," u'Top 10 Incredible Recordings'"," u'July 15, 2007'",10
"Geordie McElroy',","'Creepy',","10 Crazy Cases Of Corpse Cohabitation',","January 18, 2017',",11
"'Adam R. Ramos',","'Movies and TV',","'10 Lesser-Known Facts About Classic TV Shows',","'January 18, 2017',",11
"'Mark Oliver',","'History',","'10 Great National Heroes Of Our Enemies',","'January 17, 2017',",11
"'Ann Feeney',","'Crime',","'10 Little-Known Murders Attributed To Jack The Ripper',","'January 17, 2017',",11
"'Kyle D',","'Weird Stuff',","'10 Shocking Events That Happened At Conventions',","'January 17, 2017',",11
"'Jana Louise Smit',","'History',","'Top 10 Ancient Rock Art Discoveries',","'January 16, 2017',",11
"'Gary Pullman',","'Animals',","'10 Bizarre Recently Discovered Animal Species',","'January 16, 2017',",11
"'Mike Floorwalker',","'Pop Culture',","'Top 10 Biggest Thefts In The History Of Entertainment',","'January 16, 2017',",11
"'Radu Alexander',","'History',","'Top 10 Tantalizing Facts About Sex In The Middle Ages',","'January 15, 2017',",11
"'Mark Oliver',","'History',","'10 Truly Disgusting Facts About Ancient Roman Life',","'August 23, 2016',",11
"'Marcus Lowth',","'Weird Stuff',","'10 Alleged Discoveries That Suggest Giants Existed',","'May 7, 2016',",11
"'David Tormsen',","'Space',","'10 Hypothetical Forms Of Life',","'July 17, 2015',",11
"'Leonius',","'Creepy',","'10 Creepypasta That Will Scare You Silly',","'April 3, 2014',",11
"'GCchange',","'Crime',","'10 Poisons Used To Kill People',","'December 2, 2012',",11
"Jamie Frater'","Weird Stuff'","Top 10 Incredible Recordings'","July 15, 2007'",11
"T.G. Campbell',","'Crime',","Top 10 Little-Known Facts About Victorian Era Scotland Yard',","January 15, 2017',",12
"'Gary Pullman',","'Weird Stuff',","'10 Recently Discovered Secret Caches',","'January 15, 2017',",12
"'Geordie McElroy',","'History',","'10 Secrets Of The Sarcophagi',","'January 14, 2017',",12
"'Mark Oliver',","'Space',","'10 Tragic Facts About Laika, The First Dog In Space',","'January 14, 2017',",12
"'Estelle Thurtle',","'Movies and TV',","'10 Lesser-Known Facts About Popular Horror Movies',","'January 14, 2017',",12
"'Mark Oliver',","'Animals',","'10 Harrowing Stories Of Man Against Animal',","'January 13, 2017',",12
"'Morris M.',","'Politics',","'10 Ridiculous Politically Correct Versions Of Famous Things',","'January 13, 2017',",12
"'Elizabeth Yetter',","'Creepy',","'10 Evil Houses That No Longer Exist',","'January 13, 2017',",12
"'Gary Pullman',","'Weird Stuff',","'Top 10 Astonishing Lost And Found Objects',","'January 12, 2017',",12
"'Mark Oliver',","'History',","'10 Truly Disgusting Facts About Ancient Roman Life',","'August 23, 2016',",12
"'Marcus Lowth',","'Weird Stuff',","'10 Alleged Discoveries That Suggest Giants Existed',","'May 7, 2016',",12
"'David Tormsen',","'Space',","'10 Hypothetical Forms Of Life',","'July 17, 2015',",12
"'Leonius',","'Creepy',","'10 Creepypasta That Will Scare You Silly',","'April 3, 2014',",12
"'GCchange',","'Crime',","'10 Poisons Used To Kill People',","'December 2, 2012',",12
"Jamie Frater'","Weird Stuff'","Top 10 Incredible Recordings'","July 15, 2007'",12
"Gary Pullman',"," 'Animals',","10 Bizarre Recently Discovered Animal Species',","January 16, 2017',",13
" 'Mike Floorwalker',"," 'Pop Culture',"," 'Top 10 Biggest Thefts In The History Of Entertainment',"," 'January 16, 2017',",13
" 'Radu Alexander',"," 'History',"," 'Top 10 Tantalizing Facts About Sex In The Middle Ages',"," 'January 15, 2017',",13
" 'T.G. Campbell',"," 'Crime',"," 'Top 10 Little-Known Facts About Victorian Era Scotland Yard',"," 'January 15, 2017',",13
" 'Gary Pullman',"," 'Weird Stuff',"," '10 Recently Discovered Secret Caches',"," 'January 15, 2017',",13
" 'Geordie McElroy',"," 'History',"," '10 Secrets Of The Sarcophagi',"," 'January 14, 2017',",13
" 'Mark Oliver',"," 'Space',"," '10 Tragic Facts About Laika, The First Dog In Space',"," 'January 14, 2017',",13
" 'Estelle Thurtle',"," 'Movies and TV',"," '10 Lesser-Known Facts About Popular Horror Movies',"," 'January 14, 2017',",13
" 'Mark Oliver',"," 'Animals',"," '10 Harrowing Stories Of Man Against Animal',"," 'January 13, 2017',",13
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",13
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",13
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",13
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",13
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",13
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",13
"Morris M.',"," 'Politics',","10 Ridiculous Politically Correct Versions Of Famous Things',","January 13, 2017',",14
" 'Elizabeth Yetter',"," 'Creepy',"," '10 Evil Houses That No Longer Exist',"," 'January 13, 2017',",14
" 'Gary Pullman',"," 'Weird Stuff',"," 'Top 10 Astonishing Lost And Found Objects',"," 'January 12, 2017',",14
" 'Mark Oliver',"," 'History',"," '10 Crazy Stories About The Rulers Of Ancient China',"," 'January 12, 2017',",14
" 'Geordie McElroy',"," 'Creepy',"," 'Top 10 Bizarre Witch Burials',"," 'January 12, 2017',",14
" 'Mark Oliver',"," 'History',"," '10 Terrible Things Done By JFK’s Father',"," 'January 11, 2017',",14
" 'Geordie McElroy',"," 'Crime',"," '10 Criminal Hypnotists',"," 'January 11, 2017',",14
" 'Laura Martisiute',"," 'Weird Stuff',"," '10 Crazy Futuristic Predictions',"," 'January 11, 2017',",14
" 'Mark Oliver',"," 'History',"," '10 Facts That Conclusively Prove The Holocaust Really Happened',"," 'January 10, 2017',",14
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",14
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",14
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",14
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",14
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",14
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",14
"Estelle Thurtle',"," 'Movies and TV',","Top 10 Twisted Fan Theories About Children’s Movies',","January 10, 2017',",15
" 'Ben Gazur',"," 'Religion',"," '10 Amazing Underground Temples',"," 'January 10, 2017',",15
" 'Tristan Shaw',"," 'History',"," '10 Crazy Historic Facts About Japan',"," 'January 9, 2017',",15
" 'Gary Pullman',"," 'Weird Stuff',"," '10 Bizarre Secret Laboratories',"," 'January 9, 2017',",15
" 'Mark Oliver',"," 'Politics',"," '10 Deeply Troubling Facts About American Colleges',"," 'January 9, 2017',",15
" 'Geordie McElroy',"," 'Mysteries',"," '10 Mysterious Hidden Texts',"," 'January 8, 2017',",15
" 'Laura Martisiute',"," 'Facts',"," '10 Crazy Forgotten Facts About Henry Ford',"," 'January 8, 2017',",15
" 'Mark Oliver',"," 'History',"," '10 Tragedies That Destroyed The Canadian Inuit Way Of Life',"," 'January 8, 2017',",15
" 'Estelle Thurtle',"," 'Creepy',"," '10 Horrifying Haunted Villages Around The World',"," 'January 7, 2017',",15
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",15
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",15
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",15
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",15
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",15
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",15
"Mark Oliver',"," 'Movies and TV',","10 Insane Sequels That Were Almost Released',","January 7, 2017',",16
" 'Ben Gazur',"," 'History',"," '10 Crazy Sex Facts From Ancient Times',"," 'January 7, 2017',",16
" 'Listverse Staff',"," 'Creepy',"," 'Video: 10 Creepiest Murder Houses You Could Live In',"," 'January 6, 2017',",16
" 'Mark Oliver',"," 'Crime',"," '10 Serial Killers On Why They Did It, In Their Own Words',"," 'January 6, 2017',",16
" 'Gary Pullman',"," 'Health',"," '10 Ways A Hospital Stay Can Make Us Sicker',"," 'January 6, 2017',",16
" 'Jana Louise Smit',"," 'History',"," 'Top 10 Recent Ancient Discoveries Beneath Cities',"," 'January 6, 2017',",16
" 'Mark Oliver',"," 'Misconceptions',"," '10 Historical Misconceptions That Are Actually True',"," 'January 5, 2017',",16
" 'Estelle Thurtle',"," 'Weird Stuff',"," '10 Terrible Events Rumored To Be False Flag Operations',"," 'January 5, 2017',",16
" 'Adam R. Ramos',"," 'Movies and TV',"," '10 Tragic Facts About The Three Stooges',"," 'January 5, 2017',",16
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",16
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",16
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",16
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",16
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",16
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",16
"Lee Drake',"," 'Crime',","10 Historic Serial Killers You Don’t Know',","January 4, 2017',",17
" 'Jane Taylor',"," 'Animals',"," '10 Craziest Living Things Swallowed By Sharks',"," 'January 4, 2017',",17
" 'Abraham Rinquist',"," 'Religion',"," '10 Dark Secrets Of The Sun Cults',"," 'January 4, 2017',",17
" 'Listverse Staff',"," 'Creepy',"," 'Video: 10 Movie Sets That Came With A Real Curse',"," 'January 3, 2017',",17
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Greek Life',"," 'January 3, 2017',",17
" 'Gary Pullman',"," 'Animals',"," '10 Terrifying Snake Invasions',"," 'January 3, 2017',",17
" 'McMot Matthew',"," 'Crime',"," 'Top 10 Nazi Collaborators Who Were Jews',"," 'January 3, 2017',",17
" 'J.Etta',"," 'Facts',"," '10 Secret Service Facts You Probably Don’t Know',"," 'January 2, 2017',",17
" 'Radu Alexander',"," 'Movies and TV',"," '10 Dark Hollywood Scandals That Are Long Forgotten',"," 'January 2, 2017',",17
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",17
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",17
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",17
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",17
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",17
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",17
"Jana Louise Smit',"," 'History',","10 Tsunamis From Ancient Times That Were Terrifying',","January 2, 2017',",18
" 'Morris M.',"," 'Our World',"," '10 Mind-Blowing Things That Happened Last Month',"," 'January 2, 2017',",18
" 'Shannon Quinn',"," 'Movies and TV',"," 'Top 10 Nazi Propaganda Films',"," 'January 1, 2017',",18
" 'Lee D.',"," 'Our World',"," '10 Fascinating Wonders Of Antarctica',"," 'January 1, 2017',",18
" 'Mike Floorwalker',"," 'History',"," '10 Cool Gadgets That Are Actually Historical',"," 'January 1, 2017',",18
" 'Listverse Staff',"," 'Weird Stuff',"," 'Video: 10 People Who Died After Seeing A UFO',"," 'December 31, 2016',",18
" 'Morris M.',"," 'Weird Stuff',"," '10 Terrifying Predictions For 2017',"," 'December 31, 2016',",18
" 'Elizabeth Yetter',"," 'Creepy',"," '10 Instances Of Medicinal Cannibalism And Vampirism',"," 'December 31, 2016',",18
" 'Brian Tyler Brennglass',"," 'Food',"," '10 Novel Ways Ice Cream Is Being Reinvented',"," 'December 31, 2016',",18
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",18
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",18
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",18
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",18
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",18
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",18
"Gary Pullman',"," 'Crime',","10 Murder Victims Whose Bodies Were Found At Bottoms Of Wells',","December 30, 2016',",19
" 'Ann Feeney',"," 'Travel',"," '10 Of The Most Beautiful Maps Ever Created',"," 'December 30, 2016',",19
" 'Kyle D',"," 'Our World',"," '10 Things The Internet Blew Out Of Proportion In 2016',"," 'December 30, 2016',",19
" 'A. C. Grimes',"," 'Humans',"," '10 Selfless Heroes Who Made The World A Happier Place',"," 'December 29, 2016',",19
" 'R. Hendrix',"," 'History',"," '10 Frozen Timepieces That Marked Death And Disaster',"," 'December 29, 2016',",19
" 'Benjamin Welton',"," 'Movies and TV',"," 'Top 10 Great Horror Movies You’ve Never Heard Of',"," 'December 29, 2016',",19
" 'Estelle Thurtle',"," 'Music',"," 'Top 10 Insane Conspiracy Theories About Music Stars',"," 'December 28, 2016',",19
" 'J. Raughty',"," 'History',"," '10 Historical Cases Of Forced Tattooing',"," 'December 28, 2016',",19
" 'Jana Louise Smit',"," 'Animals',"," 'Top 10 Discoveries Changing T. Rex Forever',"," 'December 28, 2016',",19
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",19
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",19
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",19
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",19
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",19
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",19
"Aoxue W.',"," 'Our World',","10 Incredible Inventions Inspired By Plants And Animals',","December 27, 2016',",20
" 'Michael Meillarec',"," 'Pop Culture',"," '10 Extreme Post-Apocalyptic Societies',"," 'December 27, 2016',",20
" 'Ann Feeney',"," 'History',"," '10 Male Sex Workers Who Made History',"," 'December 27, 2016',",20
" 'Abraham Rinquist',"," 'Mysteries',"," '10 Mysterious Jade Relics',"," 'December 26, 2016',",20
" 'Mike Floorwalker',"," 'Movies and TV',"," 'Top 10 Least Loved Event Films Of 2016',"," 'December 26, 2016',",20
" 'Gary Pullman',"," 'Food',"," '10 Elaborate Gingerbread Houses',"," 'December 26, 2016',",20
" 'Ben Gazur',"," 'Weird Stuff',"," '10 Bizarre Christmas Cards From The Past',"," 'December 25, 2016',",20
" 'Benjamin Welton',"," 'Creepy',"," '10 Dark Legends Of The Yuletide Season',"," 'December 25, 2016',",20
" 'Edward Wright',"," 'Facts',"," '10 Things You Didn’t Know About The First Christmas',"," 'December 25, 2016',",20
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",20
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",20
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",20
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",20
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",20
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",20
